STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TEMP_DIFF,LABEL
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-14,0.0,0.0,0.0,106.0,83.0,1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-15,0.0,0.0,0.0,111.0,78.0,5.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-16,0.0,0.0,0.0,109.0,81.0,-2.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-17,0.0,0.0,0.0,111.0,86.0,2.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-18,0.0,0.0,0.0,113.0,84.0,2.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-19,0.0,0.0,0.0,113.0,85.0,0.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-20,0.02,0.0,0.0,110.0,80.0,-3.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-21,0.0,0.0,0.0,106.0,78.0,-4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-22,0.0,0.0,0.0,107.0,83.0,1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-23,0.0,0.0,0.0,108.0,87.0,1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-24,0.0,0.0,0.0,103.0,83.0,-5.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-25,0.0,0.0,0.0,101.0,78.0,-2.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-26,0.0,0.0,0.0,99.0,77.0,-2.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-27,0.0,0.0,0.0,103.0,75.0,4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-28,0.0,0.0,0.0,105.0,84.0,2.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-29,0.0,0.0,0.0,101.0,81.0,-4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-30,0.0,0.0,0.0,100.0,80.0,-1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-05-31,0.0,0.0,0.0,102.0,76.0,2.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-01,0.0,0.0,0.0,103.0,80.0,1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-02,0.0,0.0,0.0,106.0,80.0,3.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-03,0.0,0.0,0.0,109.0,81.0,3.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-04,0.0,0.0,0.0,112.0,83.0,3.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-05,0.01,0.0,0.0,108.0,84.0,-4.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-06,0.0,0.0,0.0,100.0,78.0,-8.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-07,0.08,0.0,0.0,88.0,67.0,-12.0,1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-08,0.0,0.0,0.0,100.0,70.0,12.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-09,0.0,0.0,0.0,103.0,81.0,3.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-10,0.0,0.0,0.0,104.0,85.0,1.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-11,0.04,0.0,0.0,101.0,79.0,-3.0,0
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",36.46263,-116.8672,-59.1,2023-06-12,0.0,0.0,0.0,99.0,75.0,-2.0,0
